home_team,away_team,home_goals,away_goals,result,season
Newcastle United   ,Crystal Palace  ,0,1,A,2018-2019
Everton    ,Arsenal  ,1,0,H,2018-2019
Chelsea   ,West Ham United  ,2,0,H,2018-2019
Leicester City   ,Newcastle United  ,0,1,A,2018-2019
Brighton and Hove Albion   ,AFC Bournemouth  ,0,5,A,2018-2019
Burnley   ,Cardiff City  ,2,0,H,2018-2019
Fulham   ,Everton   ,2,0,H,2018-2019
Manchester United   ,West Ham United  ,2,1,H,2018-2019
Southampton   ,Wolverhampton Wanderers  ,3,1,H,2018-2019
Tottenham Hotspur   ,Huddersfield Town AFC  ,4,0,H,2018-2019
Crystal Palace   ,Manchester City  ,1,3,A,2018-2019
Liverpool   ,Chelsea  ,2,0,H,2018-2019
Watford   ,Arsenal  ,0,1,A,2018-2019
Brighton and Hove Albion   ,Cardiff City  ,0,2,A,2018-2019
AFC Bournemouth   ,Fulham  ,0,1,A,2018-2019
Huddersfield Town AFC   ,Watford  ,1,2,A,2018-2019
Manchester City   ,Tottenham Hotspur  ,1,0,H,2018-2019
Newcastle United   ,Southampton  ,3,1,H,2018-2019
West Ham United   ,Leicester City  ,2,2,D,2018-2019
Wolverhampton Wanderers   ,Brighton and Hove Albion  ,0,0,D,2018-2019
Arsenal   ,Crystal Palace  ,2,3,A,2018-2019
Cardiff City   ,Liverpool  ,0,2,A,2018-2019
Everton    ,Manchester United  ,4,0,H,2018-2019
Chelsea   ,Burnley  ,2,2,D,2018-2019
Tottenham Hotspur   ,Brighton and Hove Albion  ,1,0,H,2018-2019
Watford   ,Southampton  ,1,1,D,2018-2019
Manchester United   ,Manchester City  ,0,2,A,2018-2019
Wolverhampton Wanderers   ,Arsenal  ,3,1,H,2018-2019
Liverpool   ,Huddersfield Town AFC  ,5,0,H,2018-2019
Brighton and Hove Albion   ,Newcastle United  ,1,1,D,2018-2019
Crystal Palace   ,Everton   ,0,0,D,2018-2019
Fulham   ,Cardiff City  ,1,0,H,2018-2019
Southampton   ,AFC Bournemouth  ,3,3,D,2018-2019
Tottenham Hotspur   ,West Ham United  ,0,1,A,2018-2019
Watford   ,Wolverhampton Wanderers  ,1,2,A,2018-2019
Burnley   ,Manchester City  ,0,1,A,2018-2019
Leicester City   ,Arsenal  ,3,0,H,2018-2019
Manchester United   ,Chelsea  ,1,1,D,2018-2019
Everton    ,Burnley  ,2,0,H,2018-2019
AFC Bournemouth   ,Tottenham Hotspur  ,1,0,H,2018-2019
Cardiff City   ,Crystal Palace  ,2,3,A,2018-2019
Newcastle United   ,Liverpool  ,2,3,A,2018-2019
West Ham United   ,Southampton  ,3,0,H,2018-2019
Wolverhampton Wanderers   ,Fulham  ,1,0,H,2018-2019
Arsenal   ,Brighton and Hove Albion  ,1,1,D,2018-2019
Chelsea   ,Watford  ,3,0,H,2018-2019
Huddersfield Town AFC   ,Manchester United  ,1,1,D,2018-2019
Manchester City   ,Leicester City  ,1,0,H,2018-2019
Brighton and Hove Albion   ,Manchester City  ,1,4,A,2018-2019
Burnley   ,Arsenal  ,1,3,A,2018-2019
Crystal Palace   ,AFC Bournemouth  ,5,3,H,2018-2019
Fulham   ,Newcastle United  ,0,4,A,2018-2019
Leicester City   ,Chelsea  ,0,0,D,2018-2019
Liverpool   ,Wolverhampton Wanderers  ,2,0,H,2018-2019
Manchester United   ,Cardiff City  ,0,2,A,2018-2019
Southampton   ,Huddersfield Town AFC  ,1,1,D,2018-2019
Tottenham Hotspur   ,Everton   ,2,2,D,2018-2019
Watford   ,West Ham United  ,1,4,A,2018-2019
